,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,3,1,22.0,1,0,0,7.25,0.0,0.3333333333333333
1,1,1,0,38.0,1,0,0,71.2833,0.006802721088435374,0.6666666666666666
2,1,3,0,26.0,0,0,0,7.925,0.0,0.3333333333333333
3,1,1,0,35.0,1,0,113803,53.1,0.013605442176870748,0.3333333333333333
4,0,3,1,35.0,0,0,373450,8.05,0.0,0.3333333333333333
5,0,3,1,0.0,0,0,330877,8.4583,0.0,1.0
6,0,1,1,54.0,0,0,17463,51.8625,0.02040816326530612,0.3333333333333333
7,0,3,1,2.0,3,1,349909,21.075,0.0,0.3333333333333333
8,1,3,0,27.0,0,2,347742,11.1333,0.0,0.3333333333333333
9,1,2,0,14.0,1,0,237736,30.0708,0.0,0.6666666666666666
10,1,3,0,4.0,1,1,0,16.7,0.027210884353741496,0.3333333333333333
11,1,1,0,58.0,0,0,113783,26.55,0.034013605442176874,0.3333333333333333
12,0,3,1,20.0,0,0,0,8.05,0.0,0.3333333333333333
13,0,3,1,39.0,1,5,347082,31.275,0.0,0.3333333333333333
14,0,3,0,14.0,0,0,350406,7.8542,0.0,0.3333333333333333
15,1,2,0,55.0,0,0,248706,16.0,0.0,0.3333333333333333
16,0,3,1,2.0,4,1,382652,29.125,0.0,1.0
17,1,2,1,0.0,0,0,244373,13.0,0.0,0.3333333333333333
18,0,3,0,31.0,1,0,345763,18.0,0.0,0.3333333333333333
19,1,3,0,0.0,0,0,2649,7.225,0.0,0.6666666666666666
20,0,2,1,35.0,0,0,239865,26.0,0.0,0.3333333333333333
21,1,2,1,34.0,0,0,248698,13.0,0.04081632653061224,0.3333333333333333
22,1,3,0,15.0,0,0,330923,8.0292,0.0,1.0
23,1,1,1,28.0,0,0,113788,35.5,0.047619047619047616,0.3333333333333333
24,0,3,0,8.0,3,1,349909,21.075,0.0,0.3333333333333333
25,1,3,0,38.0,1,5,347077,31.3875,0.0,0.3333333333333333
26,0,3,1,0.0,0,0,2631,7.225,0.0,0.6666666666666666
27,0,1,1,19.0,3,2,19950,263.0,0.05442176870748299,0.3333333333333333
28,1,3,0,0.0,0,0,330959,7.8792,0.0,1.0
29,0,3,1,0.0,0,0,349216,7.8958,0.0,0.3333333333333333
30,0,1,1,40.0,0,0,0,27.7208,0.0,0.6666666666666666
31,1,1,0,0.0,1,0,0,146.5208,0.061224489795918366,0.6666666666666666
32,1,3,0,0.0,0,0,335677,7.75,0.0,1.0
33,0,2,1,66.0,0,0,0,10.5,0.0,0.3333333333333333
34,0,1,1,28.0,1,0,0,82.1708,0.0,0.6666666666666666
35,0,1,1,42.0,1,0,113789,52.0,0.0,0.3333333333333333
36,1,3,1,0.0,0,0,2677,7.2292,0.0,0.6666666666666666
37,0,3,1,21.0,0,0,0,8.05,0.0,0.3333333333333333
38,0,3,0,18.0,2,0,345764,18.0,0.0,0.3333333333333333
39,1,3,0,14.0,1,0,2651,11.2417,0.0,0.6666666666666666
40,0,3,0,40.0,1,0,7546,9.475,0.0,0.3333333333333333
41,0,2,0,27.0,1,0,11668,21.0,0.0,0.3333333333333333
42,0,3,1,0.0,0,0,349253,7.8958,0.0,0.6666666666666666
43,1,2,0,3.0,1,2,0,41.5792,0.0,0.6666666666666666
44,1,3,0,19.0,0,0,330958,7.8792,0.0,1.0
45,0,3,1,0.0,0,0,0,8.05,0.0,0.3333333333333333
46,0,3,1,0.0,1,0,370371,15.5,0.0,1.0
47,1,3,0,0.0,0,0,14311,7.75,0.0,1.0
48,0,3,1,0.0,2,0,2662,21.6792,0.0,0.6666666666666666
49,0,3,0,18.0,1,0,349237,17.8,0.0,0.3333333333333333
50,0,3,1,7.0,4,1,3101295,39.6875,0.0,0.3333333333333333
51,0,3,1,21.0,0,0,0,7.8,0.0,0.3333333333333333
52,1,1,0,49.0,1,0,0,76.7292,0.06802721088435375,0.6666666666666666
53,1,2,0,29.0,1,0,2926,26.0,0.0,0.3333333333333333
54,0,1,1,65.0,0,1,113509,61.9792,0.07482993197278912,0.6666666666666666
55,1,1,1,0.0,0,0,19947,35.5,0.08163265306122448,0.3333333333333333
56,1,2,0,21.0,0,0,0,10.5,0.0,0.3333333333333333
57,0,3,1,28.5,0,0,2697,7.2292,0.0,0.6666666666666666
58,1,2,0,5.0,1,2,0,27.75,0.0,0.3333333333333333
59,0,3,1,11.0,5,2,0,46.9,0.0,0.3333333333333333
60,0,3,1,22.0,0,0,2669,7.2292,0.0,0.6666666666666666
61,1,1,0,38.0,0,0,113572,80.0,0.08843537414965986,0.0
62,0,1,1,45.0,1,0,36973,83.475,0.09523809523809523,0.3333333333333333
63,0,3,1,4.0,3,2,347088,27.9,0.0,0.3333333333333333
64,0,1,1,0.0,0,0,0,27.7208,0.0,0.6666666666666666
65,1,3,1,0.0,1,1,2661,15.2458,0.0,0.6666666666666666
66,1,2,0,29.0,0,0,0,10.5,0.10204081632653061,0.3333333333333333
67,0,3,1,19.0,0,0,0,8.1583,0.0,0.3333333333333333
68,1,3,0,17.0,4,2,3101281,7.925,0.0,0.3333333333333333
69,0,3,1,26.0,2,0,315151,8.6625,0.0,0.3333333333333333
70,0,2,1,32.0,0,0,0,10.5,0.0,0.3333333333333333
71,0,3,0,16.0,5,2,0,46.9,0.0,0.3333333333333333
72,0,2,1,21.0,0,0,0,73.5,0.0,0.3333333333333333
73,0,3,1,26.0,1,0,2680,14.4542,0.0,0.6666666666666666
74,1,3,1,32.0,0,0,1601,56.4958,0.0,0.3333333333333333
75,0,3,1,25.0,0,0,348123,7.65,0.10884353741496598,0.3333333333333333
76,0,3,1,0.0,0,0,349208,7.8958,0.0,0.3333333333333333
77,0,3,1,0.0,0,0,374746,8.05,0.0,0.3333333333333333
78,1,2,1,0.83,0,2,248738,29.0,0.0,0.3333333333333333
79,1,3,0,30.0,0,0,364516,12.475,0.0,0.3333333333333333
80,0,3,1,22.0,0,0,345767,9.0,0.0,0.3333333333333333
81,1,3,1,29.0,0,0,345779,9.5,0.0,0.3333333333333333
82,1,3,0,0.0,0,0,330932,7.7875,0.0,1.0
83,0,1,1,28.0,0,0,113059,47.1,0.0,0.3333333333333333
84,1,2,0,17.0,0,0,0,10.5,0.0,0.3333333333333333
85,1,3,0,33.0,3,0,3101278,15.85,0.0,0.3333333333333333
86,0,3,1,16.0,1,3,0,34.375,0.0,0.3333333333333333
87,0,3,1,0.0,0,0,0,8.05,0.0,0.3333333333333333
88,1,1,0,23.0,3,2,19950,263.0,0.05442176870748299,0.3333333333333333
89,0,3,1,24.0,0,0,343275,8.05,0.0,0.3333333333333333
90,0,3,1,29.0,0,0,343276,8.05,0.0,0.3333333333333333
91,0,3,1,20.0,0,0,347466,7.8542,0.0,0.3333333333333333
92,0,1,1,46.0,1,0,0,61.175,0.11564625850340136,0.3333333333333333
93,0,3,1,26.0,1,2,0,20.575,0.0,0.3333333333333333
94,0,3,1,59.0,0,0,364500,7.25,0.0,0.3333333333333333
95,0,3,1,0.0,0,0,374910,8.05,0.0,0.3333333333333333
96,0,1,1,71.0,0,0,0,34.6542,0.12244897959183673,0.6666666666666666
97,1,1,1,23.0,0,1,0,63.3583,0.1292517006802721,0.6666666666666666
98,1,2,0,34.0,0,1,231919,23.0,0.0,0.3333333333333333
99,0,2,1,34.0,1,0,244367,26.0,0.0,0.3333333333333333
100,0,3,0,28.0,0,0,349245,7.8958,0.0,0.3333333333333333
101,0,3,1,0.0,0,0,349215,7.8958,0.0,0.3333333333333333
102,0,1,1,21.0,0,1,35281,77.2875,0.1360544217687075,0.3333333333333333
103,0,3,1,33.0,0,0,7540,8.6542,0.0,0.3333333333333333
104,0,3,1,37.0,2,0,3101276,7.925,0.0,0.3333333333333333
105,0,3,1,28.0,0,0,349207,7.8958,0.0,0.3333333333333333
106,1,3,0,21.0,0,0,343120,7.65,0.0,0.3333333333333333
107,1,3,1,0.0,0,0,312991,7.775,0.0,0.3333333333333333
108,0,3,1,38.0,0,0,349249,7.8958,0.0,0.3333333333333333
109,1,3,0,0.0,1,0,371110,24.15,0.0,1.0
110,0,1,1,47.0,0,0,110465,52.0,0.14285714285714285,0.3333333333333333
111,0,3,0,14.5,1,0,2665,14.4542,0.0,0.6666666666666666
112,0,3,1,22.0,0,0,324669,8.05,0.0,0.3333333333333333
113,0,3,0,20.0,1,0,4136,9.825,0.0,0.3333333333333333
114,0,3,0,17.0,0,0,2627,14.4583,0.0,0.6666666666666666
115,0,3,1,21.0,0,0,0,7.925,0.0,0.3333333333333333
116,0,3,1,70.5,0,0,370369,7.75,0.0,1.0
117,0,2,1,29.0,1,0,11668,21.0,0.0,0.3333333333333333
118,0,1,1,24.0,0,1,0,247.5208,0.14965986394557823,0.6666666666666666
119,0,3,0,2.0,4,2,347082,31.275,0.0,0.3333333333333333
120,0,2,1,21.0,2,0,0,73.5,0.0,0.3333333333333333
121,0,3,1,0.0,0,0,0,8.05,0.0,0.3333333333333333
122,0,2,1,32.5,1,0,237736,30.0708,0.0,0.6666666666666666
123,1,2,0,32.5,0,0,27267,13.0,0.1564625850340136,0.3333333333333333
124,0,1,1,54.0,0,1,35281,77.2875,0.1360544217687075,0.3333333333333333
125,1,3,1,12.0,1,0,2651,11.2417,0.0,0.6666666666666666
126,0,3,1,0.0,0,0,370372,7.75,0.0,1.0
127,1,3,1,24.0,0,0,0,7.1417,0.0,0.3333333333333333
128,1,3,0,0.0,1,1,2668,22.3583,0.16326530612244897,0.6666666666666666
129,0,3,1,45.0,0,0,347061,6.975,0.0,0.3333333333333333
130,0,3,1,33.0,0,0,349241,7.8958,0.0,0.6666666666666666
131,0,3,1,20.0,0,0,0,7.05,0.0,0.3333333333333333
132,0,3,0,47.0,1,0,0,14.5,0.0,0.3333333333333333
133,1,2,0,29.0,1,0,228414,26.0,0.0,0.3333333333333333
134,0,2,1,25.0,0,0,0,13.0,0.0,0.3333333333333333
135,0,2,1,23.0,0,0,0,15.0458,0.0,0.6666666666666666
136,1,1,0,19.0,0,2,11752,26.2833,0.17006802721088435,0.3333333333333333
137,0,1,1,37.0,1,0,113803,53.1,0.013605442176870748,0.3333333333333333
138,0,3,1,16.0,0,0,7534,9.2167,0.0,0.3333333333333333
139,0,1,1,24.0,0,0,0,79.2,0.17687074829931973,0.6666666666666666
140,0,3,0,0.0,0,2,2678,15.2458,0.0,0.6666666666666666
141,1,3,0,22.0,0,0,347081,7.75,0.0,0.3333333333333333
142,1,3,0,24.0,1,0,0,15.85,0.0,0.3333333333333333
143,0,3,1,19.0,0,0,365222,6.75,0.0,1.0
144,0,2,1,18.0,0,0,231945,11.5,0.0,0.3333333333333333
145,0,2,1,19.0,1,1,0,36.75,0.0,0.3333333333333333
146,1,3,1,27.0,0,0,350043,7.7958,0.0,0.3333333333333333
147,0,3,0,9.0,2,2,0,34.375,0.0,0.3333333333333333
148,0,2,1,36.5,0,2,230080,26.0,0.1836734693877551,0.3333333333333333
149,0,2,1,42.0,0,0,244310,13.0,0.0,0.3333333333333333
150,0,2,1,51.0,0,0,0,12.525,0.0,0.3333333333333333
151,1,1,0,22.0,1,0,113776,66.6,0.19047619047619047,0.3333333333333333
152,0,3,1,55.5,0,0,0,8.05,0.0,0.3333333333333333
153,0,3,1,40.5,0,2,0,14.5,0.0,0.3333333333333333
154,0,3,1,0.0,0,0,0,7.3125,0.0,0.3333333333333333
155,0,1,1,51.0,0,1,0,61.3792,0.0,0.6666666666666666
156,1,3,0,16.0,0,0,35851,7.7333,0.0,1.0
157,0,3,1,30.0,0,0,0,8.05,0.0,0.3333333333333333
158,0,3,1,0.0,0,0,315037,8.6625,0.0,0.3333333333333333
159,0,3,1,0.0,8,2,0,69.55,0.0,0.3333333333333333
160,0,3,1,44.0,0,1,371362,16.1,0.0,0.3333333333333333
161,1,2,0,40.0,0,0,0,15.75,0.0,0.3333333333333333
162,0,3,1,26.0,0,0,347068,7.775,0.0,0.3333333333333333
163,0,3,1,17.0,0,0,315093,8.6625,0.0,0.3333333333333333
164,0,3,1,1.0,4,1,3101295,39.6875,0.0,0.3333333333333333
165,1,3,1,9.0,0,2,363291,20.525,0.0,0.3333333333333333
166,1,1,0,0.0,0,1,113505,55.0,0.19727891156462585,0.3333333333333333
167,0,3,0,45.0,1,4,347088,27.9,0.0,0.3333333333333333
168,0,1,1,0.0,0,0,0,25.925,0.0,0.3333333333333333
169,0,3,1,28.0,0,0,1601,56.4958,0.0,0.3333333333333333
170,0,1,1,61.0,0,0,111240,33.5,0.20408163265306123,0.3333333333333333
171,0,3,1,4.0,4,1,382652,29.125,0.0,1.0
172,1,3,0,1.0,1,1,347742,11.1333,0.0,0.3333333333333333
173,0,3,1,21.0,0,0,0,7.925,0.0,0.3333333333333333
174,0,1,1,56.0,0,0,17764,30.6958,0.2108843537414966,0.6666666666666666
175,0,3,1,18.0,1,1,350404,7.8542,0.0,0.3333333333333333
176,0,3,1,0.0,3,1,4133,25.4667,0.0,0.3333333333333333
177,0,1,0,50.0,0,0,0,28.7125,0.21768707482993196,0.6666666666666666
178,0,2,1,30.0,0,0,250653,13.0,0.0,0.3333333333333333
179,0,3,1,36.0,0,0,0,0.0,0.0,0.3333333333333333
180,0,3,0,0.0,8,2,0,69.55,0.0,0.3333333333333333
181,0,2,1,0.0,0,0,0,15.05,0.0,0.6666666666666666
182,0,3,1,9.0,4,2,347077,31.3875,0.0,0.3333333333333333
183,1,2,1,1.0,2,1,230136,39.0,0.22448979591836735,0.3333333333333333
184,1,3,0,4.0,0,2,315153,22.025,0.0,0.3333333333333333
185,0,1,1,0.0,0,0,113767,50.0,0.23129251700680273,0.3333333333333333
186,1,3,0,0.0,1,0,370365,15.5,0.0,1.0
187,1,1,1,45.0,0,0,111428,26.55,0.0,0.3333333333333333
188,0,3,1,40.0,1,1,364849,15.5,0.0,1.0
189,0,3,1,36.0,0,0,349247,7.8958,0.0,0.3333333333333333
190,1,2,0,32.0,0,0,234604,13.0,0.0,0.3333333333333333
191,0,2,1,19.0,0,0,28424,13.0,0.0,0.3333333333333333
192,1,3,0,19.0,1,0,350046,7.8542,0.0,0.3333333333333333
193,1,2,1,3.0,1,1,230080,26.0,0.1836734693877551,0.3333333333333333
194,1,1,0,44.0,0,0,0,27.7208,0.23809523809523808,0.6666666666666666
195,1,1,0,58.0,0,0,0,146.5208,0.24489795918367346,0.6666666666666666
196,0,3,1,0.0,0,0,368703,7.75,0.0,1.0
197,0,3,1,42.0,0,1,4579,8.4042,0.0,0.3333333333333333
198,1,3,0,0.0,0,0,370370,7.75,0.0,1.0
199,0,2,0,24.0,0,0,248747,13.0,0.0,0.3333333333333333
200,0,3,1,28.0,0,0,345770,9.5,0.0,0.3333333333333333
201,0,3,1,0.0,8,2,0,69.55,0.0,0.3333333333333333
202,0,3,1,34.0,0,0,3101264,6.4958,0.0,0.3333333333333333
203,0,3,1,45.5,0,0,2628,7.225,0.0,0.6666666666666666
204,1,3,1,18.0,0,0,0,8.05,0.0,0.3333333333333333
205,0,3,0,2.0,0,1,347054,10.4625,0.027210884353741496,0.3333333333333333
206,0,3,1,32.0,1,0,3101278,15.85,0.0,0.3333333333333333
207,1,3,1,26.0,0,0,2699,18.7875,0.0,0.6666666666666666
208,1,3,0,16.0,0,0,367231,7.75,0.0,1.0
209,1,1,1,40.0,0,0,112277,31.0,0.25170068027210885,0.6666666666666666
210,0,3,1,24.0,0,0,0,7.05,0.0,0.3333333333333333
211,1,2,0,35.0,0,0,0,21.0,0.0,0.3333333333333333
212,0,3,1,22.0,0,0,0,7.25,0.0,0.3333333333333333
213,0,2,1,30.0,0,0,250646,13.0,0.0,0.3333333333333333
214,0,3,1,0.0,1,0,367229,7.75,0.0,1.0
215,1,1,0,31.0,1,0,35273,113.275,0.2585034013605442,0.6666666666666666
216,1,3,0,27.0,0,0,0,7.925,0.0,0.3333333333333333
217,0,2,1,42.0,1,0,243847,27.0,0.0,0.3333333333333333
218,1,1,0,32.0,0,0,11813,76.2917,0.2653061224489796,0.6666666666666666
219,0,2,1,30.0,0,0,0,10.5,0.0,0.3333333333333333
220,1,3,1,16.0,0,0,0,8.05,0.0,0.3333333333333333
221,0,2,1,27.0,0,0,220367,13.0,0.0,0.3333333333333333
222,0,3,1,51.0,0,0,21440,8.05,0.0,0.3333333333333333
223,0,3,1,0.0,0,0,349234,7.8958,0.0,0.3333333333333333
224,1,1,1,38.0,1,0,19943,90.0,0.272108843537415,0.3333333333333333
225,0,3,1,22.0,0,0,0,9.35,0.0,0.3333333333333333
226,1,2,1,19.0,0,0,0,10.5,0.0,0.3333333333333333
227,0,3,1,20.5,0,0,0,7.25,0.0,0.3333333333333333
228,0,2,1,18.0,0,0,236171,13.0,0.0,0.3333333333333333
229,0,3,0,0.0,3,1,4133,25.4667,0.0,0.3333333333333333
230,1,1,0,35.0,1,0,36973,83.475,0.09523809523809523,0.3333333333333333
231,0,3,1,29.0,0,0,347067,7.775,0.0,0.3333333333333333
232,0,2,1,59.0,0,0,237442,13.5,0.0,0.3333333333333333
233,1,3,0,5.0,4,2,347077,31.3875,0.0,0.3333333333333333
234,0,2,1,24.0,0,0,0,10.5,0.0,0.3333333333333333
235,0,3,0,0.0,0,0,0,7.55,0.0,0.3333333333333333
236,0,2,1,44.0,1,0,26707,26.0,0.0,0.3333333333333333
237,1,2,0,8.0,0,2,0,26.25,0.0,0.3333333333333333
238,0,2,1,19.0,0,0,28665,10.5,0.0,0.3333333333333333
239,0,2,1,33.0,0,0,0,12.275,0.0,0.3333333333333333
240,0,3,0,0.0,1,0,2665,14.4542,0.0,0.6666666666666666
241,1,3,0,0.0,1,0,367230,15.5,0.0,1.0
242,0,2,1,29.0,0,0,0,10.5,0.0,0.3333333333333333
243,0,3,1,22.0,0,0,0,7.125,0.0,0.3333333333333333
244,0,3,1,30.0,0,0,2694,7.225,0.0,0.6666666666666666
245,0,1,1,44.0,2,0,19928,90.0,0.2789115646258503,1.0
246,0,3,0,25.0,0,0,347071,7.775,0.0,0.3333333333333333
247,1,2,0,24.0,0,2,250649,14.5,0.0,0.3333333333333333
248,1,1,1,37.0,1,1,11751,52.5542,0.2857142857142857,0.3333333333333333
249,0,2,1,54.0,1,0,244252,26.0,0.0,0.3333333333333333
250,0,3,1,0.0,0,0,362316,7.25,0.0,0.3333333333333333
251,0,3,0,29.0,1,1,347054,10.4625,0.027210884353741496,0.3333333333333333
252,0,1,1,62.0,0,0,113514,26.55,0.2925170068027211,0.3333333333333333
253,0,3,1,30.0,1,0,0,16.1,0.0,0.3333333333333333
254,0,3,0,41.0,0,2,370129,20.2125,0.0,0.3333333333333333
255,1,3,0,29.0,0,2,2650,15.2458,0.0,0.6666666666666666
256,1,1,0,0.0,0,0,0,79.2,0.0,0.6666666666666666
257,1,1,0,30.0,0,0,110152,86.5,0.29931972789115646,0.3333333333333333
258,1,1,0,35.0,0,0,0,512.3292,0.0,0.6666666666666666
259,1,2,0,50.0,0,1,230433,26.0,0.0,0.3333333333333333
260,0,3,1,0.0,0,0,384461,7.75,0.0,1.0
261,1,3,1,3.0,4,2,347077,31.3875,0.0,0.3333333333333333
262,0,1,1,52.0,1,1,110413,79.65,0.30612244897959184,0.3333333333333333
263,0,1,1,40.0,0,0,112059,0.0,0.3129251700680272,0.3333333333333333
264,0,3,0,0.0,0,0,382649,7.75,0.0,1.0
265,0,2,1,36.0,0,0,0,10.5,0.0,0.3333333333333333
266,0,3,1,16.0,4,1,3101295,39.6875,0.0,0.3333333333333333
267,1,3,1,25.0,1,0,347083,7.775,0.0,0.3333333333333333
268,1,1,0,58.0,0,1,0,153.4625,0.3197278911564626,0.3333333333333333
269,1,1,0,35.0,0,0,0,135.6333,0.32653061224489793,0.3333333333333333
270,0,1,1,0.0,0,0,113798,31.0,0.0,0.3333333333333333
271,1,3,1,25.0,0,0,0,0.0,0.0,0.3333333333333333
272,1,2,0,41.0,0,1,250644,19.5,0.0,0.3333333333333333
