,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,0,3,1,22.0,1,0,A/5 21171,7.25,1,1
1,1,1,0,38.0,1,0,PC 17599,71.2833,2,2
2,1,3,0,26.0,0,0,STON/O2. 3101282,7.925,1,1
3,1,1,0,35.0,1,0,113803,53.1,3,1
4,0,3,1,35.0,0,0,373450,8.05,1,1
5,0,3,1,1.0,0,0,330877,8.4583,1,3
6,0,1,1,54.0,0,0,17463,51.8625,4,1
7,0,3,1,2.0,3,1,349909,21.075,1,1
8,1,3,0,27.0,0,2,347742,11.1333,1,1
9,1,2,0,14.0,1,0,237736,30.0708,1,2
10,1,3,0,4.0,1,1,PP 9549,16.7,5,1
11,1,1,0,58.0,0,0,113783,26.55,6,1
12,0,3,1,20.0,0,0,A/5. 2151,8.05,1,1
13,0,3,1,39.0,1,5,347082,31.275,1,1
14,0,3,0,14.0,0,0,350406,7.8542,1,1
15,1,2,0,55.0,0,0,248706,16.0,1,1
16,0,3,1,2.0,4,1,382652,29.125,1,3
17,1,2,1,1.0,0,0,244373,13.0,1,1
18,0,3,0,31.0,1,0,345763,18.0,1,1
19,1,3,0,1.0,0,0,2649,7.225,1,2
20,0,2,1,35.0,0,0,239865,26.0,1,1
21,1,2,1,34.0,0,0,248698,13.0,7,1
22,1,3,0,15.0,0,0,330923,8.0292,1,3
23,1,1,1,28.0,0,0,113788,35.5,8,1
24,0,3,0,8.0,3,1,349909,21.075,1,1
25,1,3,0,38.0,1,5,347077,31.3875,1,1
26,0,3,1,1.0,0,0,2631,7.225,1,2
27,0,1,1,19.0,3,2,19950,263.0,9,1
28,1,3,0,1.0,0,0,330959,7.8792,1,3
29,0,3,1,1.0,0,0,349216,7.8958,1,1
30,0,1,1,40.0,0,0,PC 17601,27.7208,1,2
31,1,1,0,1.0,1,0,PC 17569,146.5208,10,2
32,1,3,0,1.0,0,0,335677,7.75,1,3
33,0,2,1,66.0,0,0,C.A. 24579,10.5,1,1
34,0,1,1,28.0,1,0,PC 17604,82.1708,1,2
35,0,1,1,42.0,1,0,113789,52.0,1,1
